Latitude;Longitude;Speed;Time (absolute)
-2244.261700;-4732.031500;0.018520;1543677948.351138
-2244.261700;-4732.031500;0.018520;1543677948.496986
-2244.261700;-4732.031500;0.000000;1543677948.609120
-2244.261700;-4732.031500;0.000000;1543677948.717964
-2244.261700;-4732.031500;0.018520;1543677948.823796
-2244.261700;-4732.031500;0.018520;1543677948.946751
-2244.261700;-4732.031500;0.018520;1543677949.048832
-2244.261700;-4732.031500;0.018520;1543677949.155774
-2244.261700;-4732.031500;0.018520;1543677949.279632
-2244.261700;-4732.031500;0.000000;1543677949.400034
-2244.261700;-4732.031500;0.000000;1543677949.491770
-2244.261700;-4732.031500;0.037040;1543677949.602324
-2244.261700;-4732.031500;0.037040;1543677949.701077
-2244.261700;-4732.031500;0.018520;1543677949.830742
-2244.261700;-4732.031500;0.018520;1543677949.948271
-2244.261700;-4732.031500;0.018520;1543677950.054384
-2244.261700;-4732.031500;0.018520;1543677950.168416
-2244.261700;-4732.031500;0.018520;1543677950.269654
-2244.261700;-4732.031500;0.037040;1543677950.393065
-2244.261700;-4732.031500;0.037040;1543677950.504098
-2244.261700;-4732.031500;0.018520;1543677950.620244
-2244.261700;-4732.031500;0.018520;1543677950.746354
-2244.261700;-4732.031500;0.037040;1543677950.834014
-2244.261700;-4732.031500;0.037040;1543677950.937064
-2244.261700;-4732.031500;0.018520;1543677951.050113
-2244.261700;-4732.031500;0.018520;1543677951.171078
-2244.261700;-4732.031500;0.018520;1543677951.272931
-2244.261700;-4732.031500;0.018520;1543677951.372929
-2244.261700;-4732.031500;0.037040;1543677951.488611
-2244.261700;-4732.031500;0.037040;1543677951.601153
-2244.261700;-4732.031500;0.018520;1543677951.725343
-2244.261700;-4732.031500;0.018520;1543677951.806357
-2244.261700;-4732.031500;0.018520;1543677951.919582
-2244.261700;-4732.031500;0.037040;1543677952.020434
-2244.261700;-4732.031500;0.037040;1543677952.152523
-2244.261700;-4732.031500;0.018520;1543677952.250356
-2244.261700;-4732.031500;0.018520;1543677952.360613
-2244.261700;-4732.031500;0.000000;1543677952.470437
-2244.261700;-4732.031500;0.000000;1543677952.580520
-2244.261700;-4732.031500;0.018520;1543677952.696202
-2244.261700;-4732.031500;0.037040;1543677952.806236
-2244.261700;-4732.031500;0.037040;1543677952.910630
-2244.261700;-4732.031500;0.018520;1543677953.010624
-2244.261700;-4732.031500;0.018520;1543677953.126358
-2244.261700;-4732.031500;0.000000;1543677953.242537
-2244.261700;-4732.031500;0.000000;1543677953.345558
-2244.261700;-4732.031500;0.000000;1543677953.476470
